CaseParID1	CaseParID2	lawIDs	CommonCitations
12	1296	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1418	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1505	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	1536	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	1554	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1663	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	1957	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	2115	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	2124	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	2154	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	2177	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	2214	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	2477	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	2533	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	2578	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	2636	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	2671	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	2699	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	2830	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	2833	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	3109	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	3153	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	3206	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	3254	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	3299	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	3396	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	3463	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	3517	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	3520	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	3567	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	3677	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	4016	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	4019	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	4205	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	4214	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	4216	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	4535	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	4719	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	4825	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	4881	ATSG,IVG	Art. 7 ATSG, Art. 28 Abs. 1 IVG
12	5002	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	5121	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	5183	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	5295	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	5505	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	5541	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	5591	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	5615	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	5646	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	5648	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	5667	ATSG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG
12	5824	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	6140	ATSG,IVG	Art. 7 ATSG, Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	14	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	567	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	597	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	726	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	767	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	889	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1009	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1170	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1415	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1447	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1888	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	1914	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
12	2390	ATSG,IVG	Art. 8 Abs. 1 ATSG, Art. 28 Abs. 1 IVG
